gloss,closs,cfloss,crloss,cploss
49.97019958496094,-23.012097930908205,-51.585720825195324,21.33488521575928,7.2387379209200535
62.123329162597656,-22.223418935139975,-57.78012313842774,28.507909329732257,7.048795014619827
57.464379628499344,-23.102271270751952,-53.684827423095705,23.43459841410319,7.1479577124118805
46.79365158081055,-22.662405014038086,-50.59140675862629,20.536863517761233,7.392138401667278
49.68677266438802,-22.62713254292806,-52.37096455891927,22.129044596354166,7.614787658055624
96.2111790974935,-21.080727895100914,-87.6834940592448,60.42036708196005,6.18239936977625
67.19383494059245,-23.234122212727865,-73.15040791829426,42.62959493001302,7.286690950393677
61.24672317504883,-22.14454752604167,-57.35550384521484,28.15687688191732,7.054079567392666
48.770898183186844,-23.03341267903646,-48.866049194335936,18.79349225362142,7.03914475440979
45.184730529785156,-22.821545664469397,-50.106414031982425,20.073742421468097,7.211126148700714
45.73120244344076,-22.608379364013672,-48.376801300048825,18.973431332906085,6.7949906190236415
56.36566925048828,-21.756780497233073,-52.22209955851237,23.80745334625244,6.657865842183432
65.74291356404623,-22.35878766377767,-68.18756306966145,38.893148295084636,6.935626924037933
50.395823160807296,-22.237806193033855,-52.459022521972656,23.37231063842773,6.848905503749847
49.23810450236003,-22.491138458251953,-48.13844706217448,18.697077624003093,6.950230817000071
57.33588790893555,-22.259897486368814,-53.273799641927084,24.207550621032713,6.806351482868195
54.9057133992513,-22.440182876586913,-51.336474100748696,22.222318903605142,6.6739724079767875
47.338181813557945,-21.169308344523113,-46.45169169108073,18.47292518615723,6.80945810675621
51.32399622599284,-22.460388946533204,-46.83882344563801,17.602894973754882,6.775539259115854
45.15545399983724,-21.261574935913085,-46.241458892822266,18.065514882405598,6.914368997017542
48.71272150675456,-22.008401997884114,-47.2036855061849,18.677586364746094,6.517697036266327
51.12394841512044,-21.8210319519043,-50.44103825887044,22.10370775858561,6.516298274199169
74.20384216308594,-21.699208068847657,-61.568111928304035,33.38336334228515,6.485540350278219
60.228538513183594,-21.538183720906574,-64.29796752929688,36.12305552164714,6.636728127797445
57.4952507019043,-21.430325953165692,-55.42400716145833,27.71968129475912,6.273999929428101
48.789738972981766,-20.627422205607097,-47.100761922200526,20.3524881362915,6.120851655801137
47.055426279703774,-20.794099299112958,-43.60491968790691,16.608874766031903,6.2019454439481105
46.32327397664388,-20.699757766723632,-44.60054931640625,17.8663023630778,6.034489115079245
47.71809641520183,-20.613607279459636,-44.46213862101238,17.786636861165363,6.061894516150156
55.31507873535156,-20.688977177937826,-47.06200332641602,20.323414230346682,6.049611687660217
49.56843821207682,-20.281964747111,-50.2604482014974,24.004281870524085,5.974201758702596
45.30900065104167,-19.892833073933918,-45.164823913574224,19.678895187377933,5.593095779418945
52.297340393066406,-18.856015396118163,-45.30548985799154,20.58303871154785,5.866435830791791
43.20124435424805,-19.88250986735026,-45.18831151326498,19.532250849405923,5.773550609747569
53.984258015950516,-19.130608622233076,-44.34566065470377,20.004457982381187,5.210594067970912
47.56907526652018,-19.335077031453448,-50.08747380574545,24.97190132141113,5.780495385328929
54.348052978515625,-19.080362447102864,-48.59342778523763,24.124053891499837,5.389011512200038
47.160972595214844,-19.137490336100257,-48.56726582845052,23.917485809326173,5.512289573748906
47.486167907714844,-18.89091911315918,-45.522552490234375,21.341165033976235,5.290468345085779
48.41668319702148,-19.048837661743164,-45.57623926798503,21.14407590230306,5.383325695991516
43.23731994628906,-18.83954620361328,-43.17521413167317,18.98989741007487,5.3457704087098445
38.263573964436844,-19.151231384277345,-42.13004099527995,17.569910685221352,5.408899029095967
44.33076858520508,-18.210650253295896,-41.875070699055996,18.662980715433758,5.001439770062764
44.19651921590169,-18.67071418762207,-43.41799189249675,19.506940778096517,5.240337024132411
42.98839569091797,-18.128061548868814,-44.7286496480306,21.6248784383138,4.975710093975067
45.150903065999344,-18.20087331136068,-41.10572077433268,17.85634733835856,5.04850031932195
44.08204778035482,-17.75788796742757,-40.330282084147136,17.633512496948242,4.93888133764267
41.71155675252279,-17.739638900756837,-39.732434082031254,17.204305521647132,4.788489739100139
42.19540150960287,-17.134053293863932,-40.70199152628581,18.733288319905597,4.834649900595347
41.387116750081375,-17.440936406453453,-40.10400594075521,18.02472012837728,4.63834947347641
42.58535385131836,-16.85180899302165,-39.23784281412761,17.90487569173177,4.481158162156741
40.74546432495117,-17.067977333068846,-39.45248947143555,17.948819732666017,4.43569258848826
45.60578409830729,-16.722506841023765,-42.95981318155925,21.67605546315511,4.5612509449323015
45.70881652832031,-16.523426946004232,-40.816201782226564,20.057456715901694,4.235318084557851
